,Unnamed: 0,2019年01週,2019年02週,2019年03週,2019年04週,2019年05週,2019年06週,2019年07週,2019年08週,2019年09週,2019年10週,2019年11週,2019年12週,2019年13週,2019年14週,2019年15週,2019年16週,2019年17週,2019年18週,2019年19週,2019年20週,2019年21週,2019年22週,2019年23週,2019年24週,2019年25週,2019年26週,2019年27週,2019年28週,2019年29週,2019年30週,2019年31週,2019年32週,2019年33週,2019年34週,2019年35週,2019年36週,2019年37週,2019年38週,2019年39週,2019年40週,2019年41週,2019年42週,2019年43週,2019年44週,2019年45週,2019年46週,2019年47週,2019年48週,2019年49週,2019年50週,2019年51週,2019年52週
0,千代田,33,85,134,156,116,59,37,18,7,7,0,0,1,3,4,8,11,6,3,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,2,9,2,10,3,3,4,2,2,13,14,37,50,51,87
1,中央区,23,122,196,242,204,170,37,27,6,5,5,2,3,3,2,15,13,0,2,1,1,1,0,1,0,0,0,2,1,1,0,3,1,0,8,12,13,9,8,8,15,3,3,7,8,3,11,15,32,62,78,70
2,みなと,27,197,274,473,313,199,91,36,18,8,10,8,10,9,23,49,22,6,13,9,4,4,2,0,0,1,0,0,2,6,3,5,0,2,1,0,3,6,12,20,9,10,1,2,6,15,18,52,114,115,132,159
3,新宿区,119,282,382,478,413,238,111,70,37,24,6,10,9,26,26,43,41,14,10,5,6,3,4,1,0,2,0,1,4,1,0,0,1,4,3,2,2,2,3,6,3,1,8,4,10,30,29,66,108,173,158,188
4,文京,76,211,351,389,225,118,48,32,19,20,9,2,10,15,5,32,20,2,1,4,7,1,5,2,2,0,0,0,1,0,0,0,0,0,0,5,22,11,26,10,9,0,2,8,8,14,25,63,140,121,184,183
5,台東,16,151,267,327,237,100,25,12,13,11,3,2,1,1,3,10,18,9,3,2,2,2,3,1,3,1,2,2,3,0,0,0,0,1,3,4,2,0,4,11,1,1,2,2,4,1,15,46,88,90,108,131
6,墨田区,113,233,395,374,272,137,74,77,35,21,11,7,6,12,12,15,16,10,7,4,4,6,5,1,1,1,0,1,0,1,1,0,2,6,2,3,2,1,7,4,4,1,2,3,3,12,14,62,71,80,102,128
7,江東区,58,383,609,888,570,338,116,78,22,19,25,16,12,13,14,28,34,4,7,8,11,10,4,1,2,2,4,0,0,1,1,0,0,2,5,17,16,6,17,8,5,9,18,12,10,10,36,78,135,217,244,301
8,品川区,11,165,269,320,226,156,69,33,21,14,5,5,5,7,18,38,22,2,4,4,10,5,0,0,1,0,0,5,1,4,2,3,0,0,0,0,2,3,1,6,8,6,3,7,4,8,47,35,46,107,123,153
9,目黒区,27,193,274,302,197,114,45,40,42,22,10,14,7,14,19,29,33,11,8,8,7,2,3,1,1,0,0,0,0,0,3,4,6,0,3,7,5,6,3,1,2,2,3,2,6,21,42,103,130,153,172,143
10,大田区,115,546,843,1022,723,420,171,137,60,45,33,15,25,19,38,49,50,1,17,22,14,4,3,0,1,0,0,1,0,4,1,4,1,1,2,2,5,17,9,2,12,12,5,12,9,50,87,138,178,238,354,380
11,世田谷,193,837,1357,1643,1249,701,329,203,90,70,35,36,44,36,23,92,79,35,44,31,19,14,10,16,14,3,4,5,9,3,2,7,10,6,7,19,35,35,34,26,28,19,22,48,43,58,132,250,309,477,549,577
12,渋谷区,30,145,211,260,207,112,41,36,17,10,7,1,3,2,5,9,13,0,3,3,1,0,0,3,2,1,0,0,0,0,1,3,1,6,4,3,11,11,13,8,1,4,0,2,5,3,11,34,39,109,99,102
13,中野区,105,368,585,593,496,285,98,53,36,27,12,14,8,23,47,41,38,8,14,9,2,3,0,0,1,0,1,3,2,0,0,0,2,0,1,5,8,14,13,5,5,1,9,4,8,28,62,73,101,225,309,239
