,Unnamed: 0,2019年01週,2019年02週,2019年03週,2019年04週,2019年05週,2019年06週,2019年07週,2019年08週,2019年09週,2019年10週,2019年11週,2019年12週,2019年13週,2019年14週,2019年15週,2019年16週,2019年17週,2019年18週,2019年19週,2019年20週,2019年21週,2019年22週,2019年23週,2019年24週,2019年25週,2019年26週,2019年27週,2019年28週,2019年29週,2019年30週,2019年31週,2019年32週,2019年33週,2019年34週,2019年35週,2019年36週,2019年37週,2019年38週,2019年39週,2019年40週,2019年41週,2019年42週,2019年43週,2019年44週,2019年45週,2019年46週,2019年47週,2019年48週,2019年49週,2019年50週,2019年51週,2019年52週
14,杉並,67,373,504,800,624,334,105,99,35,20,21,19,17,17,23,59,59,14,18,18,5,2,1,0,0,1,0,4,3,3,4,0,0,3,8,12,28,26,9,8,12,5,5,7,22,23,31,84,167,322,382,353
15,池袋,31,253,346,387,273,112,47,20,20,14,13,5,9,16,11,37,17,4,6,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,5,4,1,6,3,4,3,4,4,5,10,23,37,73,127,190,166
16,北区,85,341,553,639,465,274,110,77,34,32,13,13,8,10,6,92,43,6,10,15,13,8,1,4,6,2,1,0,0,0,0,0,0,3,14,20,20,13,9,9,16,14,18,23,11,16,19,68,112,145,203,216
17,荒川区,46,231,341,547,410,181,78,44,30,10,5,8,4,7,20,45,47,1,12,30,6,1,2,2,0,0,0,2,3,1,2,0,0,0,0,2,5,5,4,26,31,22,26,20,10,13,43,105,78,111,196,182
18,板橋区,163,451,609,795,712,339,118,90,50,22,8,5,13,14,14,41,44,5,17,10,5,7,5,1,1,4,1,0,0,6,4,6,0,0,0,1,18,22,8,14,20,12,15,13,7,19,48,68,184,239,372,315
19,練馬区,99,525,901,1178,715,454,230,158,75,36,13,17,4,14,16,40,52,4,17,23,11,3,3,2,6,0,4,0,0,0,0,0,0,0,4,2,22,9,23,17,15,5,9,39,41,36,50,141,241,306,398,372
20,足立,100,618,942,1060,847,480,159,123,69,43,24,20,14,18,17,54,39,11,18,23,8,17,31,27,13,10,2,0,0,0,3,1,1,0,0,2,11,10,13,50,10,13,8,12,12,7,23,78,124,270,365,466
21,葛飾区,73,440,828,1000,707,355,151,66,41,19,9,6,11,10,17,68,46,10,6,4,5,7,3,1,2,1,0,1,1,0,2,0,3,3,5,4,22,13,8,20,15,5,1,4,8,19,17,77,113,213,350,336
22,江戸川,211,737,1185,1514,977,494,192,116,61,24,14,4,6,17,24,54,48,8,14,5,5,2,2,1,1,0,1,0,3,4,5,1,1,1,7,11,23,26,20,23,22,11,27,26,26,39,55,141,218,350,402,382
23,八王子市,226,918,1778,1886,1099,639,272,163,67,35,20,7,11,16,20,62,54,3,9,10,3,6,4,5,0,2,2,2,2,0,0,1,2,2,3,18,14,24,18,29,10,7,4,13,8,17,37,116,208,437,608,684
24,町田市,210,556,888,1174,794,504,156,89,50,45,28,9,2,17,8,22,26,2,8,7,0,1,0,0,0,0,0,0,0,1,15,10,1,0,0,7,16,11,7,7,9,12,10,29,32,53,48,96,182,333,411,425
25,西多摩,157,551,812,839,755,369,146,99,45,28,9,8,4,6,5,22,29,14,5,5,7,4,2,0,0,0,0,0,0,0,0,0,5,3,6,1,8,16,5,6,0,1,2,2,1,9,17,58,75,190,230,321
26,南多摩,193,500,914,1178,774,393,180,72,49,35,26,27,12,8,15,15,31,13,6,16,9,1,0,0,0,0,0,0,0,0,0,0,0,1,2,10,5,11,11,6,51,7,4,6,0,13,37,84,137,262,312,410
27,多摩立川,153,621,1236,1552,1139,676,263,144,73,31,20,28,14,15,27,54,58,11,10,28,22,7,1,2,0,0,1,7,0,0,0,0,0,0,0,4,12,15,16,10,3,7,9,13,14,31,26,66,166,346,460,425
28,多摩府中,130,1159,2163,2505,1767,947,418,263,154,96,47,30,45,43,55,104,91,7,29,23,19,16,12,10,6,0,1,0,1,0,1,1,1,3,6,10,19,27,39,61,68,38,54,117,105,170,120,175,374,625,953,934
29,多摩小平,222,779,1531,2038,1383,692,276,214,142,58,37,28,22,27,38,111,97,7,16,30,9,5,4,3,3,0,0,0,0,0,5,1,1,2,3,13,32,85,47,29,13,9,7,14,26,63,74,126,298,473,717,733
30,島しょ,44,93,172,76,37,31,88,50,16,69,47,40,5,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,0,0,0,0,0,0,0,0,0,2,6,35,19,1,15,53,128,61
31,都道府県合計,3156,13064,21850,26635,18926,10421,4281,2739,1434,920,525,406,345,439,555,1339,1191,229,337,361,218,143,110,87,67,31,24,36,36,36,55,50,61,51,100,202,387,437,402,435,411,243,284,461,460,828,1229,2550,4293,7019,9340,9622
